Summary of Experiments:
Experiment 1: {'seeker_population': 25, 'explorer_population': 0, 'isocontour_population': 0}
Experiment 38: {'seeker_population': 12, 'explorer_population': 12, 'isocontour_population': 1}
Experiment 39: {'seeker_population': 11, 'explorer_population': 13, 'isocontour_population': 1}
Experiment 40: {'seeker_population': 10, 'explorer_population': 14, 'isocontour_population': 1}
Experiment 41: {'seeker_population': 9, 'explorer_population': 15, 'isocontour_population': 1}
Experiment 42: {'seeker_population': 8, 'explorer_population': 16, 'isocontour_population': 1}
Experiment 43: {'seeker_population': 7, 'explorer_population': 17, 'isocontour_population': 1}
Experiment 44: {'seeker_population': 6, 'explorer_population': 18, 'isocontour_population': 1}
Experiment 45: {'seeker_population': 5, 'explorer_population': 19, 'isocontour_population': 1}
Experiment 46: {'seeker_population': 4, 'explorer_population': 20, 'isocontour_population': 1}
Experiment 47: {'seeker_population': 3, 'explorer_population': 21, 'isocontour_population': 1}
Experiment 48: {'seeker_population': 2, 'explorer_population': 22, 'isocontour_population': 1}
Experiment 49: {'seeker_population': 1, 'explorer_population': 23, 'isocontour_population': 1}
Experiment 50: {'seeker_population': 23, 'explorer_population': 0, 'isocontour_population': 2}
Experiment 51: {'seeker_population': 22, 'explorer_population': 1, 'isocontour_population': 2}
Experiment 52: {'seeker_population': 21, 'explorer_population': 2, 'isocontour_population': 2}
Experiment 53: {'seeker_population': 20, 'explorer_population': 3, 'isocontour_population': 2}
Experiment 54: {'seeker_population': 19, 'explorer_population': 4, 'isocontour_population': 2}
Experiment 55: {'seeker_population': 18, 'explorer_population': 5, 'isocontour_population': 2}
Experiment 56: {'seeker_population': 17, 'explorer_population': 6, 'isocontour_population': 2}
Experiment 57: {'seeker_population': 16, 'explorer_population': 7, 'isocontour_population': 2}
Experiment 58: {'seeker_population': 15, 'explorer_population': 8, 'isocontour_population': 2}
Experiment 59: {'seeker_population': 14, 'explorer_population': 9, 'isocontour_population': 2}
Experiment 60: {'seeker_population': 13, 'explorer_population': 10, 'isocontour_population': 2}
Experiment 61: {'seeker_population': 12, 'explorer_population': 11, 'isocontour_population': 2}
Experiment 62: {'seeker_population': 11, 'explorer_population': 12, 'isocontour_population': 2}
Experiment 63: {'seeker_population': 10, 'explorer_population': 13, 'isocontour_population': 2}
Experiment 64: {'seeker_population': 9, 'explorer_population': 14, 'isocontour_population': 2}
Experiment 65: {'seeker_population': 8, 'explorer_population': 15, 'isocontour_population': 2}
Experiment 66: {'seeker_population': 7, 'explorer_population': 16, 'isocontour_population': 2}
Experiment 67: {'seeker_population': 6, 'explorer_population': 17, 'isocontour_population': 2}
Experiment 68: {'seeker_population': 5, 'explorer_population': 18, 'isocontour_population': 2}
Experiment 69: {'seeker_population': 4, 'explorer_population': 19, 'isocontour_population': 2}
Experiment 70: {'seeker_population': 3, 'explorer_population': 20, 'isocontour_population': 2}
Experiment 71: {'seeker_population': 2, 'explorer_population': 21, 'isocontour_population': 2}
Experiment 72: {'seeker_population': 1, 'explorer_population': 22, 'isocontour_population': 2}
Experiment 73: {'seeker_population': 22, 'explorer_population': 0, 'isocontour_population': 3}
Experiment 74: {'seeker_population': 21, 'explorer_population': 1, 'isocontour_population': 3}
Experiment 75: {'seeker_population': 20, 'explorer_population': 2, 'isocontour_population': 3}
Experiment 76: {'seeker_population': 19, 'explorer_population': 3, 'isocontour_population': 3}
Experiment 77: {'seeker_population': 18, 'explorer_population': 4, 'isocontour_population': 3}
Experiment 78: {'seeker_population': 17, 'explorer_population': 5, 'isocontour_population': 3}
Experiment 79: {'seeker_population': 16, 'explorer_population': 6, 'isocontour_population': 3}
Experiment 80: {'seeker_population': 15, 'explorer_population': 7, 'isocontour_population': 3}
Experiment 81: {'seeker_population': 14, 'explorer_population': 8, 'isocontour_population': 3}
Experiment 82: {'seeker_population': 13, 'explorer_population': 9, 'isocontour_population': 3}
Experiment 83: {'seeker_population': 12, 'explorer_population': 10, 'isocontour_population': 3}
Experiment 84: {'seeker_population': 11, 'explorer_population': 11, 'isocontour_population': 3}
Experiment 85: {'seeker_population': 10, 'explorer_population': 12, 'isocontour_population': 3}
Experiment 86: {'seeker_population': 9, 'explorer_population': 13, 'isocontour_population': 3}
Experiment 87: {'seeker_population': 8, 'explorer_population': 14, 'isocontour_population': 3}
Experiment 88: {'seeker_population': 7, 'explorer_population': 15, 'isocontour_population': 3}
Experiment 89: {'seeker_population': 6, 'explorer_population': 16, 'isocontour_population': 3}
Experiment 90: {'seeker_population': 5, 'explorer_population': 17, 'isocontour_population': 3}
Experiment 91: {'seeker_population': 4, 'explorer_population': 18, 'isocontour_population': 3}
Experiment 92: {'seeker_population': 3, 'explorer_population': 19, 'isocontour_population': 3}
Experiment 93: {'seeker_population': 2, 'explorer_population': 20, 'isocontour_population': 3}
Experiment 94: {'seeker_population': 1, 'explorer_population': 21, 'isocontour_population': 3}
Experiment 95: {'seeker_population': 21, 'explorer_population': 0, 'isocontour_population': 4}
Experiment 96: {'seeker_population': 20, 'explorer_population': 1, 'isocontour_population': 4}
Experiment 97: {'seeker_population': 19, 'explorer_population': 2, 'isocontour_population': 4}
Experiment 98: {'seeker_population': 18, 'explorer_population': 3, 'isocontour_population': 4}
Experiment 99: {'seeker_population': 17, 'explorer_population': 4, 'isocontour_population': 4}
Experiment 100: {'seeker_population': 16, 'explorer_population': 5, 'isocontour_population': 4}
Experiment 101: {'seeker_population': 15, 'explorer_population': 6, 'isocontour_population': 4}
Experiment 102: {'seeker_population': 14, 'explorer_population': 7, 'isocontour_population': 4}
Experiment 103: {'seeker_population': 13, 'explorer_population': 8, 'isocontour_population': 4}
Experiment 104: {'seeker_population': 12, 'explorer_population': 9, 'isocontour_population': 4}
Experiment 105: {'seeker_population': 11, 'explorer_population': 10, 'isocontour_population': 4}
Experiment 106: {'seeker_population': 10, 'explorer_population': 11, 'isocontour_population': 4}
Experiment 107: {'seeker_population': 9, 'explorer_population': 12, 'isocontour_population': 4}
Experiment 108: {'seeker_population': 8, 'explorer_population': 13, 'isocontour_population': 4}
Experiment 109: {'seeker_population': 7, 'explorer_population': 14, 'isocontour_population': 4}
Experiment 110: {'seeker_population': 6, 'explorer_population': 15, 'isocontour_population': 4}
Experiment 111: {'seeker_population': 5, 'explorer_population': 16, 'isocontour_population': 4}
Experiment 112: {'seeker_population': 4, 'explorer_population': 17, 'isocontour_population': 4}
Experiment 113: {'seeker_population': 3, 'explorer_population': 18, 'isocontour_population': 4}
Experiment 114: {'seeker_population': 2, 'explorer_population': 19, 'isocontour_population': 4}
Experiment 115: {'seeker_population': 1, 'explorer_population': 20, 'isocontour_population': 4}
Experiment 116: {'seeker_population': 20, 'explorer_population': 0, 'isocontour_population': 5}
Experiment 117: {'seeker_population': 19, 'explorer_population': 1, 'isocontour_population': 5}
Experiment 118: {'seeker_population': 18, 'explorer_population': 2, 'isocontour_population': 5}
Experiment 119: {'seeker_population': 17, 'explorer_population': 3, 'isocontour_population': 5}
Experiment 120: {'seeker_population': 16, 'explorer_population': 4, 'isocontour_population': 5}
Experiment 121: {'seeker_population': 15, 'explorer_population': 5, 'isocontour_population': 5}
Experiment 122: {'seeker_population': 14, 'explorer_population': 6, 'isocontour_population': 5}
Experiment 123: {'seeker_population': 13, 'explorer_population': 7, 'isocontour_population': 5}
Experiment 124: {'seeker_population': 12, 'explorer_population': 8, 'isocontour_population': 5}
Experiment 125: {'seeker_population': 11, 'explorer_population': 9, 'isocontour_population': 5}
Experiment 126: {'seeker_population': 10, 'explorer_population': 10, 'isocontour_population': 5}
Experiment 127: {'seeker_population': 9, 'explorer_population': 11, 'isocontour_population': 5}
Experiment 128: {'seeker_population': 8, 'explorer_population': 12, 'isocontour_population': 5}
Experiment 129: {'seeker_population': 7, 'explorer_population': 13, 'isocontour_population': 5}
Experiment 130: {'seeker_population': 6, 'explorer_population': 14, 'isocontour_population': 5}
Experiment 131: {'seeker_population': 5, 'explorer_population': 15, 'isocontour_population': 5}
Experiment 132: {'seeker_population': 4, 'explorer_population': 16, 'isocontour_population': 5}
Experiment 133: {'seeker_population': 3, 'explorer_population': 17, 'isocontour_population': 5}
Experiment 134: {'seeker_population': 2, 'explorer_population': 18, 'isocontour_population': 5}
Experiment 135: {'seeker_population': 1, 'explorer_population': 19, 'isocontour_population': 5}
Experiment 136: {'seeker_population': 19, 'explorer_population': 0, 'isocontour_population': 6}
Experiment 137: {'seeker_population': 18, 'explorer_population': 1, 'isocontour_population': 6}
Experiment 138: {'seeker_population': 17, 'explorer_population': 2, 'isocontour_population': 6}
Experiment 139: {'seeker_population': 16, 'explorer_population': 3, 'isocontour_population': 6}
Experiment 140: {'seeker_population': 15, 'explorer_population': 4, 'isocontour_population': 6}
Experiment 141: {'seeker_population': 14, 'explorer_population': 5, 'isocontour_population': 6}
Experiment 142: {'seeker_population': 13, 'explorer_population': 6, 'isocontour_population': 6}
Experiment 143: {'seeker_population': 12, 'explorer_population': 7, 'isocontour_population': 6}
Experiment 144: {'seeker_population': 11, 'explorer_population': 8, 'isocontour_population': 6}
Experiment 145: {'seeker_population': 10, 'explorer_population': 9, 'isocontour_population': 6}
Experiment 146: {'seeker_population': 9, 'explorer_population': 10, 'isocontour_population': 6}
Experiment 147: {'seeker_population': 8, 'explorer_population': 11, 'isocontour_population': 6}
Experiment 148: {'seeker_population': 7, 'explorer_population': 12, 'isocontour_population': 6}
Experiment 149: {'seeker_population': 6, 'explorer_population': 13, 'isocontour_population': 6}
Experiment 150: {'seeker_population': 5, 'explorer_population': 14, 'isocontour_population': 6}
Experiment 151: {'seeker_population': 4, 'explorer_population': 15, 'isocontour_population': 6}
Experiment 152: {'seeker_population': 3, 'explorer_population': 16, 'isocontour_population': 6}
Experiment 153: {'seeker_population': 2, 'explorer_population': 17, 'isocontour_population': 6}
Experiment 154: {'seeker_population': 1, 'explorer_population': 18, 'isocontour_population': 6}
Experiment 155: {'seeker_population': 18, 'explorer_population': 0, 'isocontour_population': 7}
Experiment 156: {'seeker_population': 17, 'explorer_population': 1, 'isocontour_population': 7}
Experiment 157: {'seeker_population': 16, 'explorer_population': 2, 'isocontour_population': 7}
Experiment 158: {'seeker_population': 15, 'explorer_population': 3, 'isocontour_population': 7}
Experiment 159: {'seeker_population': 14, 'explorer_population': 4, 'isocontour_population': 7}
Experiment 160: {'seeker_population': 13, 'explorer_population': 5, 'isocontour_population': 7}
Experiment 161: {'seeker_population': 12, 'explorer_population': 6, 'isocontour_population': 7}
Experiment 162: {'seeker_population': 11, 'explorer_population': 7, 'isocontour_population': 7}
Experiment 163: {'seeker_population': 10, 'explorer_population': 8, 'isocontour_population': 7}
Experiment 164: {'seeker_population': 9, 'explorer_population': 9, 'isocontour_population': 7}
Experiment 165: {'seeker_population': 8, 'explorer_population': 10, 'isocontour_population': 7}
Experiment 166: {'seeker_population': 7, 'explorer_population': 11, 'isocontour_population': 7}
Experiment 167: {'seeker_population': 6, 'explorer_population': 12, 'isocontour_population': 7}
Experiment 168: {'seeker_population': 5, 'explorer_population': 13, 'isocontour_population': 7}
Experiment 169: {'seeker_population': 4, 'explorer_population': 14, 'isocontour_population': 7}
Experiment 170: {'seeker_population': 3, 'explorer_population': 15, 'isocontour_population': 7}
Experiment 171: {'seeker_population': 2, 'explorer_population': 16, 'isocontour_population': 7}
Experiment 172: {'seeker_population': 1, 'explorer_population': 17, 'isocontour_population': 7}
Experiment 173: {'seeker_population': 17, 'explorer_population': 0, 'isocontour_population': 8}
Experiment 174: {'seeker_population': 16, 'explorer_population': 1, 'isocontour_population': 8}
Experiment 175: {'seeker_population': 15, 'explorer_population': 2, 'isocontour_population': 8}
Experiment 176: {'seeker_population': 14, 'explorer_population': 3, 'isocontour_population': 8}
Experiment 177: {'seeker_population': 13, 'explorer_population': 4, 'isocontour_population': 8}
Experiment 178: {'seeker_population': 12, 'explorer_population': 5, 'isocontour_population': 8}
Experiment 179: {'seeker_population': 11, 'explorer_population': 6, 'isocontour_population': 8}
Experiment 180: {'seeker_population': 10, 'explorer_population': 7, 'isocontour_population': 8}
Experiment 181: {'seeker_population': 9, 'explorer_population': 8, 'isocontour_population': 8}
Experiment 182: {'seeker_population': 8, 'explorer_population': 9, 'isocontour_population': 8}
Experiment 183: {'seeker_population': 7, 'explorer_population': 10, 'isocontour_population': 8}
Experiment 184: {'seeker_population': 6, 'explorer_population': 11, 'isocontour_population': 8}
Experiment 185: {'seeker_population': 5, 'explorer_population': 12, 'isocontour_population': 8}
Experiment 186: {'seeker_population': 4, 'explorer_population': 13, 'isocontour_population': 8}
Experiment 187: {'seeker_population': 3, 'explorer_population': 14, 'isocontour_population': 8}
Experiment 188: {'seeker_population': 2, 'explorer_population': 15, 'isocontour_population': 8}
Experiment 189: {'seeker_population': 1, 'explorer_population': 16, 'isocontour_population': 8}
Experiment 190: {'seeker_population': 16, 'explorer_population': 0, 'isocontour_population': 9}
Experiment 191: {'seeker_population': 15, 'explorer_population': 1, 'isocontour_population': 9}
Experiment 192: {'seeker_population': 14, 'explorer_population': 2, 'isocontour_population': 9}
Experiment 193: {'seeker_population': 13, 'explorer_population': 3, 'isocontour_population': 9}
Experiment 194: {'seeker_population': 12, 'explorer_population': 4, 'isocontour_population': 9}
Experiment 195: {'seeker_population': 11, 'explorer_population': 5, 'isocontour_population': 9}
Experiment 196: {'seeker_population': 10, 'explorer_population': 6, 'isocontour_population': 9}
Experiment 197: {'seeker_population': 9, 'explorer_population': 7, 'isocontour_population': 9}
Experiment 198: {'seeker_population': 8, 'explorer_population': 8, 'isocontour_population': 9}
Experiment 199: {'seeker_population': 7, 'explorer_population': 9, 'isocontour_population': 9}
Experiment 200: {'seeker_population': 6, 'explorer_population': 10, 'isocontour_population': 9}
Experiment 201: {'seeker_population': 5, 'explorer_population': 11, 'isocontour_population': 9}
Experiment 202: {'seeker_population': 4, 'explorer_population': 12, 'isocontour_population': 9}
Experiment 203: {'seeker_population': 3, 'explorer_population': 13, 'isocontour_population': 9}
Experiment 204: {'seeker_population': 2, 'explorer_population': 14, 'isocontour_population': 9}
Experiment 205: {'seeker_population': 1, 'explorer_population': 15, 'isocontour_population': 9}
Experiment 206: {'seeker_population': 15, 'explorer_population': 0, 'isocontour_population': 10}
Experiment 207: {'seeker_population': 14, 'explorer_population': 1, 'isocontour_population': 10}
Experiment 208: {'seeker_population': 13, 'explorer_population': 2, 'isocontour_population': 10}
Experiment 209: {'seeker_population': 12, 'explorer_population': 3, 'isocontour_population': 10}
Experiment 210: {'seeker_population': 11, 'explorer_population': 4, 'isocontour_population': 10}
Experiment 211: {'seeker_population': 10, 'explorer_population': 5, 'isocontour_population': 10}
Experiment 212: {'seeker_population': 9, 'explorer_population': 6, 'isocontour_population': 10}
Experiment 213: {'seeker_population': 8, 'explorer_population': 7, 'isocontour_population': 10}
Experiment 214: {'seeker_population': 7, 'explorer_population': 8, 'isocontour_population': 10}
Experiment 215: {'seeker_population': 6, 'explorer_population': 9, 'isocontour_population': 10}
Experiment 216: {'seeker_population': 5, 'explorer_population': 10, 'isocontour_population': 10}
Experiment 217: {'seeker_population': 4, 'explorer_population': 11, 'isocontour_population': 10}
Experiment 218: {'seeker_population': 3, 'explorer_population': 12, 'isocontour_population': 10}
Experiment 219: {'seeker_population': 2, 'explorer_population': 13, 'isocontour_population': 10}
Experiment 220: {'seeker_population': 1, 'explorer_population': 14, 'isocontour_population': 10}
Experiment 221: {'seeker_population': 14, 'explorer_population': 0, 'isocontour_population': 11}
Experiment 222: {'seeker_population': 13, 'explorer_population': 1, 'isocontour_population': 11}
Experiment 223: {'seeker_population': 12, 'explorer_population': 2, 'isocontour_population': 11}
Experiment 224: {'seeker_population': 11, 'explorer_population': 3, 'isocontour_population': 11}
Experiment 225: {'seeker_population': 10, 'explorer_population': 4, 'isocontour_population': 11}
Experiment 226: {'seeker_population': 9, 'explorer_population': 5, 'isocontour_population': 11}
Experiment 227: {'seeker_population': 8, 'explorer_population': 6, 'isocontour_population': 11}
Experiment 228: {'seeker_population': 7, 'explorer_population': 7, 'isocontour_population': 11}
Experiment 229: {'seeker_population': 6, 'explorer_population': 8, 'isocontour_population': 11}
Experiment 230: {'seeker_population': 5, 'explorer_population': 9, 'isocontour_population': 11}
Experiment 231: {'seeker_population': 4, 'explorer_population': 10, 'isocontour_population': 11}
Experiment 232: {'seeker_population': 3, 'explorer_population': 11, 'isocontour_population': 11}
Experiment 233: {'seeker_population': 2, 'explorer_population': 12, 'isocontour_population': 11}
Experiment 234: {'seeker_population': 1, 'explorer_population': 13, 'isocontour_population': 11}
Experiment 235: {'seeker_population': 13, 'explorer_population': 0, 'isocontour_population': 12}
Experiment 236: {'seeker_population': 12, 'explorer_population': 1, 'isocontour_population': 12}
Experiment 237: {'seeker_population': 11, 'explorer_population': 2, 'isocontour_population': 12}
Experiment 238: {'seeker_population': 10, 'explorer_population': 3, 'isocontour_population': 12}
Experiment 239: {'seeker_population': 9, 'explorer_population': 4, 'isocontour_population': 12}
Experiment 240: {'seeker_population': 8, 'explorer_population': 5, 'isocontour_population': 12}
Experiment 241: {'seeker_population': 7, 'explorer_population': 6, 'isocontour_population': 12}
Experiment 242: {'seeker_population': 6, 'explorer_population': 7, 'isocontour_population': 12}
Experiment 243: {'seeker_population': 5, 'explorer_population': 8, 'isocontour_population': 12}
Experiment 244: {'seeker_population': 4, 'explorer_population': 9, 'isocontour_population': 12}
Experiment 245: {'seeker_population': 3, 'explorer_population': 10, 'isocontour_population': 12}
Experiment 246: {'seeker_population': 2, 'explorer_population': 11, 'isocontour_population': 12}
Experiment 247: {'seeker_population': 1, 'explorer_population': 12, 'isocontour_population': 12}
Experiment 248: {'seeker_population': 12, 'explorer_population': 0, 'isocontour_population': 13}
Experiment 249: {'seeker_population': 11, 'explorer_population': 1, 'isocontour_population': 13}
Experiment 250: {'seeker_population': 10, 'explorer_population': 2, 'isocontour_population': 13}
Experiment 251: {'seeker_population': 9, 'explorer_population': 3, 'isocontour_population': 13}
Experiment 252: {'seeker_population': 8, 'explorer_population': 4, 'isocontour_population': 13}
Experiment 253: {'seeker_population': 7, 'explorer_population': 5, 'isocontour_population': 13}
Experiment 254: {'seeker_population': 6, 'explorer_population': 6, 'isocontour_population': 13}
Experiment 255: {'seeker_population': 5, 'explorer_population': 7, 'isocontour_population': 13}
Experiment 256: {'seeker_population': 4, 'explorer_population': 8, 'isocontour_population': 13}
Experiment 257: {'seeker_population': 3, 'explorer_population': 9, 'isocontour_population': 13}
Experiment 258: {'seeker_population': 2, 'explorer_population': 10, 'isocontour_population': 13}
Experiment 259: {'seeker_population': 1, 'explorer_population': 11, 'isocontour_population': 13}
Experiment 260: {'seeker_population': 11, 'explorer_population': 0, 'isocontour_population': 14}
Experiment 261: {'seeker_population': 10, 'explorer_population': 1, 'isocontour_population': 14}
Experiment 262: {'seeker_population': 9, 'explorer_population': 2, 'isocontour_population': 14}
Experiment 263: {'seeker_population': 8, 'explorer_population': 3, 'isocontour_population': 14}
Experiment 264: {'seeker_population': 7, 'explorer_population': 4, 'isocontour_population': 14}
Experiment 265: {'seeker_population': 6, 'explorer_population': 5, 'isocontour_population': 14}
Experiment 266: {'seeker_population': 5, 'explorer_population': 6, 'isocontour_population': 14}
Experiment 267: {'seeker_population': 4, 'explorer_population': 7, 'isocontour_population': 14}
Experiment 268: {'seeker_population': 3, 'explorer_population': 8, 'isocontour_population': 14}
Experiment 269: {'seeker_population': 2, 'explorer_population': 9, 'isocontour_population': 14}
Experiment 270: {'seeker_population': 1, 'explorer_population': 10, 'isocontour_population': 14}
Experiment 271: {'seeker_population': 10, 'explorer_population': 0, 'isocontour_population': 15}
Experiment 272: {'seeker_population': 9, 'explorer_population': 1, 'isocontour_population': 15}
Experiment 273: {'seeker_population': 8, 'explorer_population': 2, 'isocontour_population': 15}
Experiment 274: {'seeker_population': 7, 'explorer_population': 3, 'isocontour_population': 15}
Experiment 275: {'seeker_population': 6, 'explorer_population': 4, 'isocontour_population': 15}
Experiment 276: {'seeker_population': 5, 'explorer_population': 5, 'isocontour_population': 15}
Experiment 277: {'seeker_population': 4, 'explorer_population': 6, 'isocontour_population': 15}
Experiment 278: {'seeker_population': 3, 'explorer_population': 7, 'isocontour_population': 15}
Experiment 279: {'seeker_population': 2, 'explorer_population': 8, 'isocontour_population': 15}
Experiment 280: {'seeker_population': 1, 'explorer_population': 9, 'isocontour_population': 15}
Experiment 281: {'seeker_population': 9, 'explorer_population': 0, 'isocontour_population': 16}
Experiment 282: {'seeker_population': 8, 'explorer_population': 1, 'isocontour_population': 16}
Experiment 283: {'seeker_population': 7, 'explorer_population': 2, 'isocontour_population': 16}
Experiment 284: {'seeker_population': 6, 'explorer_population': 3, 'isocontour_population': 16}
Experiment 285: {'seeker_population': 5, 'explorer_population': 4, 'isocontour_population': 16}
Experiment 286: {'seeker_population': 4, 'explorer_population': 5, 'isocontour_population': 16}
Experiment 287: {'seeker_population': 3, 'explorer_population': 6, 'isocontour_population': 16}
Experiment 288: {'seeker_population': 2, 'explorer_population': 7, 'isocontour_population': 16}
Experiment 289: {'seeker_population': 1, 'explorer_population': 8, 'isocontour_population': 16}
Experiment 290: {'seeker_population': 8, 'explorer_population': 0, 'isocontour_population': 17}
Experiment 291: {'seeker_population': 7, 'explorer_population': 1, 'isocontour_population': 17}
Experiment 292: {'seeker_population': 6, 'explorer_population': 2, 'isocontour_population': 17}
Experiment 293: {'seeker_population': 5, 'explorer_population': 3, 'isocontour_population': 17}
Experiment 294: {'seeker_population': 4, 'explorer_population': 4, 'isocontour_population': 17}
Experiment 295: {'seeker_population': 3, 'explorer_population': 5, 'isocontour_population': 17}
Experiment 296: {'seeker_population': 2, 'explorer_population': 6, 'isocontour_population': 17}
Experiment 297: {'seeker_population': 1, 'explorer_population': 7, 'isocontour_population': 17}
Experiment 298: {'seeker_population': 7, 'explorer_population': 0, 'isocontour_population': 18}
Experiment 299: {'seeker_population': 6, 'explorer_population': 1, 'isocontour_population': 18}
Experiment 300: {'seeker_population': 5, 'explorer_population': 2, 'isocontour_population': 18}
Experiment 301: {'seeker_population': 4, 'explorer_population': 3, 'isocontour_population': 18}
Experiment 302: {'seeker_population': 3, 'explorer_population': 4, 'isocontour_population': 18}
Experiment 303: {'seeker_population': 2, 'explorer_population': 5, 'isocontour_population': 18}
Experiment 304: {'seeker_population': 1, 'explorer_population': 6, 'isocontour_population': 18}
Experiment 305: {'seeker_population': 6, 'explorer_population': 0, 'isocontour_population': 19}
Experiment 306: {'seeker_population': 5, 'explorer_population': 1, 'isocontour_population': 19}
Experiment 307: {'seeker_population': 4, 'explorer_population': 2, 'isocontour_population': 19}
Experiment 308: {'seeker_population': 3, 'explorer_population': 3, 'isocontour_population': 19}
Experiment 309: {'seeker_population': 2, 'explorer_population': 4, 'isocontour_population': 19}
Experiment 310: {'seeker_population': 1, 'explorer_population': 5, 'isocontour_population': 19}
Experiment 311: {'seeker_population': 5, 'explorer_population': 0, 'isocontour_population': 20}
Experiment 312: {'seeker_population': 4, 'explorer_population': 1, 'isocontour_population': 20}
Experiment 313: {'seeker_population': 3, 'explorer_population': 2, 'isocontour_population': 20}
Experiment 314: {'seeker_population': 2, 'explorer_population': 3, 'isocontour_population': 20}
Experiment 315: {'seeker_population': 1, 'explorer_population': 4, 'isocontour_population': 20}
Experiment 316: {'seeker_population': 4, 'explorer_population': 0, 'isocontour_population': 21}
Experiment 317: {'seeker_population': 3, 'explorer_population': 1, 'isocontour_population': 21}
Experiment 318: {'seeker_population': 2, 'explorer_population': 2, 'isocontour_population': 21}
Experiment 319: {'seeker_population': 1, 'explorer_population': 3, 'isocontour_population': 21}
Experiment 320: {'seeker_population': 3, 'explorer_population': 0, 'isocontour_population': 22}
Experiment 321: {'seeker_population': 2, 'explorer_population': 1, 'isocontour_population': 22}
Experiment 322: {'seeker_population': 1, 'explorer_population': 2, 'isocontour_population': 22}
Experiment 323: {'seeker_population': 2, 'explorer_population': 0, 'isocontour_population': 23}
Experiment 324: {'seeker_population': 1, 'explorer_population': 1, 'isocontour_population': 23}
Experiment 325: {'seeker_population': 1, 'explorer_population': 0, 'isocontour_population': 24}
